Defining Site,Latitude,Longitude,Elevation,Land Use,Location Setting,State Name,County Name,County Code,City Name,CBSA Name
06-099-1004,37.371047,-121.133265,0.0,AGRICULTURAL,RURAL,California,Stanislaus,99,Crows Landing,"Modesto, CA"
06-099-1005,37.415213,-121.00493,40.0,AGRICULTURAL,RURAL,California,Stanislaus,99,Crows Landing,"Modesto, CA"
06-099-2001,37.494935,-120.84048200000001,27.0,RESIDENTIAL,SUBURBAN,California,Stanislaus,99,Turlock,"Modesto, CA"
06-099-2003,37.538265,-121.272993,90.0,MOBILE,RURAL,California,Stanislaus,99,Westley,"Modesto, CA"
06-101-0001,39.27489,-121.667748,59.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Sutter,101,Live Oak,"Yuba City, CA"
06-101-0002,38.848232,-121.51523600000002,50.0,AGRICULTURAL,RURAL,California,Sutter,101,Pleasant Grove,"Yuba City, CA"
06-101-0003,39.138773,-121.618549,20.0,COMMERCIAL,SUBURBAN,California,Sutter,101,Yuba City,"Yuba City, CA"
06-101-0004,39.205572,-121.82036200000002,640.0,AGRICULTURAL,RURAL,California,Sutter,101,Sutter,"Yuba City, CA"
06-101-1001,39.158224,-121.751081,22.0,RESIDENTIAL,SUBURBAN,California,Sutter,101,Sutter,"Yuba City, CA"
06-101-1002,39.122114,-121.60441000000002,20.0,MOBILE,SUBURBAN,California,Sutter,101,Yuba City,"Yuba City, CA"
06-101-2001,39.137384000000004,-121.624105,19.0,RESIDENTIAL,SUBURBAN,California,Sutter,101,Yuba City,"Yuba City, CA"
06-103-0001,40.177655,-122.245552,119.0,RESIDENTIAL,SUBURBAN,California,Tehama,103,Red Bluff,"Red Bluff, CA"
06-103-0002,40.216805,-122.22358200000001,98.0,INDUSTRIAL,SUBURBAN,California,Tehama,103,Not in a City,"Red Bluff, CA"
06-103-0003,40.169321000000004,-122.25444099999999,98.0,COMMERCIAL,SUBURBAN,California,Tehama,103,Red Bluff,"Red Bluff, CA"
06-103-0004,40.262071999999996,-122.092766,568.0,FOREST,RURAL,California,Tehama,103,Not in a City,"Red Bluff, CA"
06-103-0005,40.17583,-122.23693999999999,98.0,MOBILE,URBAN AND CENTER CITY,California,Tehama,103,Red Bluff,"Red Bluff, CA"
06-103-0006,40.1678,-122.22713799999998,81.0,COMMERCIAL,URBAN AND CENTER CITY,California,Tehama,103,Red Bluff,"Red Bluff, CA"
06-103-0007,40.17093,-122.25556,100.0,RESIDENTIAL,SUBURBAN,California,Tehama,103,Red Bluff,"Red Bluff, CA"
06-103-1001,40.033213,-122.084433,72.0,AGRICULTURAL,RURAL,California,Tehama,103,Los Molinos,"Red Bluff, CA"
06-105-0001,40.676534000000004,-122.940304,0.0,COMMERCIAL,SUBURBAN,California,Trinity,105,Weaverville,
06-105-0002,40.73475,-122.9412,600.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Trinity,105,Weaverville,
06-105-9000,40.786246999999996,-122.80570700000001,1014.0,FOREST,RURAL,California,Trinity,105,Not in a City,
06-107-0001,36.194406,-119.09261000000001,117.0,COMMERCIAL,RURAL,California,Tulare,107,Not in a City,"Visalia-Porterville, CA"
06-107-0002,36.566889,-118.777321,1901.0,,RURAL,California,Tulare,107,Sequoia National Park,"Visalia-Porterville, CA"
06-107-0003,36.595222,-118.73593100000001,2036.0,,RURAL,California,Tulare,107,Sequoia National Park,"Visalia-Porterville, CA"
06-107-0005,36.493557,-118.82954299999999,610.0,FOREST,RURAL,California,Tulare,107,Sequoia National Park,"Visalia-Porterville, CA"
06-107-0006,36.566128000000006,-118.7777,1890.0,FOREST,RURAL,California,Tulare,107,Not in a City,"Visalia-Porterville, CA"
06-107-0007,36.736613,-118.95760800000001,2012.0,FOREST,RURAL,California,Tulare,107,Kings Canyon National Park,"Visalia-Porterville, CA"
06-107-0008,36.429113,-118.76343,0.0,FOREST,RURAL,California,Tulare,107,Mineral King,"Visalia-Porterville, CA"
06-107-0009,36.489470000000004,-118.82915,510.0,FOREST,RURAL,California,Tulare,107,Not in a City,"Visalia-Porterville, CA"
06-107-1001,36.498835,-118.824821,521.0,,,California,Tulare,107,Sequoia National Park,"Visalia-Porterville, CA"
06-107-1002,35.883285,-118.917597,240.0,UNKNOWN,UNKNOWN,California,Tulare,107,Fountain Springs,"Visalia-Porterville, CA"
06-107-1003,36.489509999999996,-118.82926499999999,457.0,FOREST,RURAL,California,Tulare,107,Sequoia National Park,"Visalia-Porterville, CA"
06-107-2001,36.704396,-118.933167,1646.0,,,California,Tulare,107,Not in a City,"Visalia-Porterville, CA"
06-107-2002,36.332179,-119.291228,97.0,COMMERCIAL,URBAN AND CENTER CITY,California,Tulare,107,Visalia,"Visalia-Porterville, CA"
06-107-2010,36.031831,-119.05501799999999,136.25,AGRICULTURAL,RURAL,California,Tulare,107,Porterville,"Visalia-Porterville, CA"
06-107-3000,36.314159000000004,-119.39307099999999,90.0,AGRICULTURAL,RURAL,California,Tulare,107,Visalia,"Visalia-Porterville, CA"
06-107-3001,36.332179,-119.292061,109.0,MOBILE,SUBURBAN,California,Tulare,107,Visalia,"Visalia-Porterville, CA"
06-107-4001,36.528837,-119.01732700000001,460.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Tulare,107,Porterville,"Visalia-Porterville, CA"
06-109-0001,37.985757,-120.384083,531.0,COMMERCIAL,URBAN AND CENTER CITY,California,Tuolumne,109,Sonora,"Sonora, CA"
06-109-0002,37.649933000000004,-120.38158200000001,531.0,MOBILE,URBAN AND CENTER CITY,California,Tuolumne,109,Sonora,"Sonora, CA"
06-109-0003,37.983813,-120.38213799999998,531.0,COMMERCIAL,URBAN AND CENTER CITY,California,Tuolumne,109,Sonora,"Sonora, CA"
06-109-0004,37.888534,-119.842123,1432.0,FOREST,RURAL,California,Tuolumne,109,Yosemite National Park,"Sonora, CA"
06-109-0005,37.98178,-120.378551,571.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Tuolumne,109,Sonora,"Sonora, CA"
06-109-0006,38.050478999999996,-120.300747,0.0,FOREST,RURAL,California,Tuolumne,109,Sonora,"Sonora, CA"
06-109-1001,37.965472,-120.233773,792.0,RESIDENTIAL,SUBURBAN,California,Tuolumne,109,Tuolumne City,"Sonora, CA"
06-111-0001,34.215841999999995,-119.038697,60.0,COMMERCIAL,URBAN AND CENTER CITY,California,Ventura,111,Camarillo,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0002,34.212787,-119.033697,44.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Camarillo,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0003,34.215841999999995,-119.038697,54.0,COMMERCIAL,URBAN AND CENTER CITY,California,Ventura,111,Camarillo,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0004,34.398608,-118.824817,182.0,AGRICULTURAL,RURAL,California,Ventura,111,Piru,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0005,34.38694,-119.416785,320.0,AGRICULTURAL,RURAL,California,Ventura,111,Oak View,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0006,34.015282,-119.36178000000001,73.0,UNKNOWN,RURAL,California,Ventura,111,Channel Islands National Park,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0007,34.210169,-118.87050900000001,244.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Thousand Oaks,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0008,34.291257,-118.79765,288.0,DESERT,RURAL,California,Ventura,111,Not in a City,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0009,34.404281,-118.80998000000001,190.0,AGRICULTURAL,RURAL,California,Ventura,111,Piru,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-0010,33.25693,-119.48783999999999,437.0,MILITARY RESERVATION,RURAL,California,Ventura,111,Not in a city,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-1001,34.29862,-118.84258200000001,192.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Moorpark,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-1002,34.443605,-119.24538899999999,229.0,MOBILE,SUBURBAN,California,Ventura,111,Ojai,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-1003,34.446661,-119.271224,231.0,MOBILE,SUBURBAN,California,Ventura,111,Ojai,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-1004,34.44806,-119.2313,262.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Ojai,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-1101,34.416663,-118.79426000000001,204.0,AGRICULTURAL,RURAL,California,Ventura,111,Piru,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-2001,34.445827,-119.245667,233.0,COMMERCIAL,URBAN AND CENTER CITY,California,Ventura,111,Ojai,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-2002,34.276315999999994,-118.68368500000001,314.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-2003,34.280401,-119.31455700000001,3.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Ventura,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-3001,34.252390000000005,-119.14318200000001,43.0,RESIDENTIAL,RURAL,California,Ventura,111,Not in a City,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-3002,34.274169,-119.29983500000002,7.0,MOBILE,SUBURBAN,California,Ventura,111,Ventura,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-3003,34.280834999999996,-119.29288899999999,18.0,COMMERCIAL,URBAN AND CENTER CITY,California,Ventura,111,Ventura,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-4001,34.11029,-119.104252,11.0,,RURAL,California,Ventura,111,Not in a City,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-4002,34.749981,-119.08760600000001,1585.0,UNKNOWN,RURAL,California,Ventura,111,Lockwood Valley,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-5001,34.145561,-119.201497,7.0,UNKNOWN,RURAL,California,Ventura,111,Port Hueneme,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-6001,34.354172999999996,-119.065921,88.0,COMMERCIAL,URBAN AND CENTER CITY,California,Ventura,111,Santa Paula,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-7001,34.278058,-118.685924,313.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-8001,34.171671999999994,-118.84092700000001,232.0,RESIDENTIAL,SUBURBAN,California,Ventura,111,Thousand Oaks,"Oxnard-Thousand Oaks-Ventura, CA"
06-111-9001,34.276395,-119.253147,48.0,COMMERCIAL,URBAN AND CENTER CITY,California,Ventura,111,San Buenaventura (corporate name for Ventura),"Oxnard-Thousand Oaks-Ventura, CA"
06-113-0001,38.591015999999996,-121.517178,6.0,MOBILE,SUBURBAN,California,Yolo,113,Broderick-Bryte,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-0002,38.549906,-121.73440500000001,65.0,COMMERCIAL,URBAN AND CENTER CITY,California,Yolo,113,Davis,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-0003,38.583239,-121.781352,16.0,,,California,Yolo,113,Davis,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-0004,38.53445,-121.7734,0.0,AGRICULTURAL,RURAL,California,Yolo,113,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-0005,38.682961,-121.766075,17.0,AGRICULTURAL,URBAN AND CENTER CITY,California,Yolo,113,Woodland,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-0006,38.546296000000005,-121.746072,0.0,MOBILE,URBAN AND CENTER CITY,California,Yolo,113,Davis,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-1001,38.547115000000005,-121.74271100000001,23.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Yolo,113,Davis,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-1002,38.672683,-121.78940800000001,33.0,COMMERCIAL,URBAN AND CENTER CITY,California,Yolo,113,Woodland,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-1003,38.66121,-121.73268999999999,11.0,RESIDENTIAL,SUBURBAN,California,Yolo,113,Woodland,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-2001,38.571459999999995,-121.52578999999999,13.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Yolo,113,West Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-3001,38.679612,-121.77132399999999,26.0,COMMERCIAL,URBAN AND CENTER CITY,California,Yolo,113,Woodland,"Sacramento--Roseville--Arden-Arcade, CA"
06-113-4001,38.896843,-121.967469,25.0,AGRICULTURAL,RURAL,California,Yolo,113,Dunnigan,"Sacramento--Roseville--Arden-Arcade, CA"
06-115-0002,39.183505,-121.28051299999998,268.0,AGRICULTURAL,RURAL,California,Yuba,115,Smartville,"Yuba City, CA"
06-115-1001,39.010172999999995,-121.426069,26.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Yuba,115,Wheatland,"Yuba City, CA"
